district,year,yield
"Höxter, Landkreis",1980,6.5
"Höxter, Landkreis",1982,6.25
"Höxter, Landkreis",1983,7.43
"Höxter, Landkreis",1984,4.9
"Höxter, Landkreis",1985,6.01
"Höxter, Landkreis",1986,7.09
"Höxter, Landkreis",1987,7.94
"Höxter, Landkreis",1988,7.32
"Höxter, Landkreis",1989,8.02
"Höxter, Landkreis",1990,8.5
"Höxter, Landkreis",1991,8.2
"Höxter, Landkreis",1992,8.94
"Höxter, Landkreis",1993,7.66
"Höxter, Landkreis",1994,8.57
"Höxter, Landkreis",1995,9.84
"Höxter, Landkreis",1996,8.92
"Höxter, Landkreis",1997,9.21
"Höxter, Landkreis",1998,6.92
"Höxter, Landkreis",1999,8.48
"Höxter, Landkreis",2000,10.03
"Höxter, Landkreis",2001,9.43
"Höxter, Landkreis",2002,8.92
"Höxter, Landkreis",2003,9.7
"Höxter, Landkreis",2004,9.38
"Höxter, Landkreis",2005,8.69
"Höxter, Landkreis",2006,9.42
"Höxter, Landkreis",2007,9.72
"Höxter, Landkreis",2008,11.11
"Höxter, Landkreis",2009,9.8
"Höxter, Landkreis",2010,9.2
"Höxter, Landkreis",2011,10.4
"Höxter, Landkreis",2013,9.91
"Höxter, Landkreis",2014,9.5
"Höxter, Landkreis",2015,11.0
"Höxter, Landkreis",2016,10.58
"Höxter, Landkreis",2017,8.36
"Höxter, Landkreis",2020,11.23
"Lippe, Landkreis",1979,6.04
"Lippe, Landkreis",1980,6.4
"Lippe, Landkreis",1981,6.14
"Lippe, Landkreis",1982,7.13
"Lippe, Landkreis",1983,5.77
"Lippe, Landkreis",1984,6.43
"Lippe, Landkreis",1985,6.69
"Lippe, Landkreis",1986,8.27
"Lippe, Landkreis",1987,6.17
"Lippe, Landkreis",1988,7.61
"Lippe, Landkreis",1989,9.49
"Lippe, Landkreis",1990,10.16
"Lippe, Landkreis",1991,7.63
"Lippe, Landkreis",1992,8.98
"Lippe, Landkreis",1993,8.07
"Lippe, Landkreis",1994,8.49
"Lippe, Landkreis",1995,7.35
"Lippe, Landkreis",1996,8.63
"Lippe, Landkreis",1997,8.69
"Lippe, Landkreis",1998,8.04
"Lippe, Landkreis",1999,10.55
"Lippe, Landkreis",2000,9.42
"Lippe, Landkreis",2001,9.1
"Lippe, Landkreis",2002,9.14
"Lippe, Landkreis",2003,9.12
"Lippe, Landkreis",2004,9.62
"Lippe, Landkreis",2005,10.08
"Lippe, Landkreis",2006,8.95
"Lippe, Landkreis",2007,10.35
"Lippe, Landkreis",2008,10.12
"Lippe, Landkreis",2009,8.85
"Lippe, Landkreis",2010,10.45
"Lippe, Landkreis",2011,11.1
"Lippe, Landkreis",2012,10.41
"Lippe, Landkreis",2013,9.22
"Lippe, Landkreis",2014,10.39
"Lippe, Landkreis",2015,8.57
"Lippe, Landkreis",2016,9.67
"Lippe, Landkreis",2017,11.02
"Lippe, Landkreis",2018,7.1
"Lippe, Landkreis",2019,7.9
"Minden-Lübbecke, Landkreis",1979,6.86
"Minden-Lübbecke, Landkreis",1980,6.31
"Minden-Lübbecke, Landkreis",1981,6.08
"Minden-Lübbecke, Landkreis",1982,7.07
"Minden-Lübbecke, Landkreis",1983,9.32
"Minden-Lübbecke, Landkreis",1984,6.21
"Minden-Lübbecke, Landkreis",1985,7.11
"Minden-Lübbecke, Landkreis",1986,7.35
"Minden-Lübbecke, Landkreis",1987,6.25
"Minden-Lübbecke, Landkreis",1988,7.41
"Minden-Lübbecke, Landkreis",1989,7.75
"Minden-Lübbecke, Landkreis",1990,6.85
"Minden-Lübbecke, Landkreis",1991,7.63
"Minden-Lübbecke, Landkreis",1992,6.73
"Minden-Lübbecke, Landkreis",1993,8.35
"Minden-Lübbecke, Landkreis",1994,6.16
"Minden-Lübbecke, Landkreis",1995,6.95
"Minden-Lübbecke, Landkreis",1996,7.77
"Minden-Lübbecke, Landkreis",1997,8.41
"Minden-Lübbecke, Landkreis",1998,8.24
"Minden-Lübbecke, Landkreis",1999,8.57
"Minden-Lübbecke, Landkreis",2000,9.02
"Minden-Lübbecke, Landkreis",2001,9.35
"Minden-Lübbecke, Landkreis",2002,9.87
"Minden-Lübbecke, Landkreis",2003,7.22
"Minden-Lübbecke, Landkreis",2004,10.39
"Minden-Lübbecke, Landkreis",2005,10.02
"Minden-Lübbecke, Landkreis",2006,8.63
"Minden-Lübbecke, Landkreis",2007,10.26
"Minden-Lübbecke, Landkreis",2008,10.62
"Minden-Lübbecke, Landkreis",2009,9.66
"Minden-Lübbecke, Landkreis",2010,9.32
"Minden-Lübbecke, Landkreis",2011,10.87
"Minden-Lübbecke, Landkreis",2012,10.74
"Minden-Lübbecke, Landkreis",2013,9.95
"Minden-Lübbecke, Landkreis",2014,10.97
"Minden-Lübbecke, Landkreis",2015,10.13
"Minden-Lübbecke, Landkreis",2016,9.82
"Minden-Lübbecke, Landkreis",2017,11.47
"Minden-Lübbecke, Landkreis",2018,9.93
"Minden-Lübbecke, Landkreis",2019,12.3
"Minden-Lübbecke, Landkreis",2020,11.85
"Minden-Lübbecke, Landkreis",2021,12.52
"Paderborn, Landkreis",1979,5.83
"Paderborn, Landkreis",1980,5.91
"Paderborn, Landkreis",1981,6.82
"Paderborn, Landkreis",1982,5.7
"Paderborn, Landkreis",1983,5.2
"Paderborn, Landkreis",1984,6.36
"Paderborn, Landkreis",1985,6.62
"Paderborn, Landkreis",1986,7.97
"Paderborn, Landkreis",1987,6.23
"Paderborn, Landkreis",1988,7.55
"Paderborn, Landkreis",1989,7.33
"Paderborn, Landkreis",1990,6.29
"Paderborn, Landkreis",1991,7.79
"Paderborn, Landkreis",1992,7.1
"Paderborn, Landkreis",1993,8.53
"Paderborn, Landkreis",1994,7.66
"Paderborn, Landkreis",1995,7.83
"Paderborn, Landkreis",1996,8.52
"Paderborn, Landkreis",1997,8.64
"Paderborn, Landkreis",1998,6.94
"Paderborn, Landkreis",1999,7.75
"Paderborn, Landkreis",2000,9.74
"Paderborn, Landkreis",2001,8.61
"Paderborn, Landkreis",2002,9.0
"Paderborn, Landkreis",2003,6.79
"Paderborn, Landkreis",2004,8.94
"Paderborn, Landkreis",2005,8.95
"Paderborn, Landkreis",2006,10.77
"Paderborn, Landkreis",2007,9.17
"Paderborn, Landkreis",2008,10.64
"Paderborn, Landkreis",2009,9.02
"Paderborn, Landkreis",2010,6.59
"Paderborn, Landkreis",2011,10.58
"Paderborn, Landkreis",2012,9.99
"Paderborn, Landkreis",2013,9.3
"Paderborn, Landkreis",2014,12.33
"Paderborn, Landkreis",2015,9.86
"Paderborn, Landkreis",2016,9.82
"Paderborn, Landkreis",2017,11.04
"Paderborn, Landkreis",2018,7.95
"Bochum, kreisfreie Stadt",1979,5.26
"Bochum, kreisfreie Stadt",1980,4.9
"Bochum, kreisfreie Stadt",1981,6.0
"Bochum, kreisfreie Stadt",1982,6.25
"Bochum, kreisfreie Stadt",1983,6.14
"Bochum, kreisfreie Stadt",1984,4.5
"Bochum, kreisfreie Stadt",1985,6.2
"Bochum, kreisfreie Stadt",1986,7.6
"Bochum, kreisfreie Stadt",1987,6.24
"Bochum, kreisfreie Stadt",1988,9.0
"Bochum, kreisfreie Stadt",1989,8.5
"Bochum, kreisfreie Stadt",1990,7.0
"Bochum, kreisfreie Stadt",1991,7.5
"Bochum, kreisfreie Stadt",1992,8.92
"Bochum, kreisfreie Stadt",1993,9.75
"Bochum, kreisfreie Stadt",1994,8.5
"Bochum, kreisfreie Stadt",1995,8.0
"Bochum, kreisfreie Stadt",1996,8.0
"Bochum, kreisfreie Stadt",1997,9.0
"Bochum, kreisfreie Stadt",1998,8.0
"Bochum, kreisfreie Stadt",2000,8.5
"Bochum, kreisfreie Stadt",2001,7.5
"Bochum, kreisfreie Stadt",2003,8.0
"Bochum, kreisfreie Stadt",2004,8.0
"Bochum, kreisfreie Stadt",2005,9.0
"Bochum, kreisfreie Stadt",2006,7.6
"Bochum, kreisfreie Stadt",2007,10.0
"Bochum, kreisfreie Stadt",2008,10.5
"Bochum, kreisfreie Stadt",2009,10.75
"Dortmund, kreisfreie Stadt",1979,5.6
"Dortmund, kreisfreie Stadt",1980,6.0
"Dortmund, kreisfreie Stadt",1981,5.35
"Dortmund, kreisfreie Stadt",1982,6.23
"Dortmund, kreisfreie Stadt",1983,6.32
"Dortmund, kreisfreie Stadt",1986,7.2
"Dortmund, kreisfreie Stadt",1987,6.46
"Dortmund, kreisfreie Stadt",1989,7.9
"Dortmund, kreisfreie Stadt",1991,8.35
"Dortmund, kreisfreie Stadt",1992,8.6
"Dortmund, kreisfreie Stadt",1993,7.03
"Dortmund, kreisfreie Stadt",1994,8.5
"Dortmund, kreisfreie Stadt",1995,8.3
"Dortmund, kreisfreie Stadt",1996,8.4
"Dortmund, kreisfreie Stadt",1997,9.3
"Dortmund, kreisfreie Stadt",1998,7.45
"Dortmund, kreisfreie Stadt",1999,8.94
"Dortmund, kreisfreie Stadt",2000,9.56
"Dortmund, kreisfreie Stadt",2001,9.8
"Dortmund, kreisfreie Stadt",2002,9.6
"Dortmund, kreisfreie Stadt",2003,9.23
"Dortmund, kreisfreie Stadt",2004,9.85
"Dortmund, kreisfreie Stadt",2005,9.7
"Dortmund, kreisfreie Stadt",2006,8.95
"Dortmund, kreisfreie Stadt",2007,9.4
"Dortmund, kreisfreie Stadt",2008,11.2
"Dortmund, kreisfreie Stadt",2009,11.2
"Dortmund, kreisfreie Stadt",2010,8.7
"Dortmund, kreisfreie Stadt",2011,10.8
"Dortmund, kreisfreie Stadt",2012,10.4
"Dortmund, kreisfreie Stadt",2013,9.2
"Dortmund, kreisfreie Stadt",2014,10.6
"Dortmund, kreisfreie Stadt",2015,8.6
"Hagen, kreisfreie Stadt",1979,5.45
"Hagen, kreisfreie Stadt",1983,6.39
"Hagen, kreisfreie Stadt",1987,6.02
"Hagen, kreisfreie Stadt",1988,8.0
"Hagen, kreisfreie Stadt",1989,8.0
"Hagen, kreisfreie Stadt",2013,0.1
"Hamm, kreisfreie Stadt",1979,5.78
"Hamm, kreisfreie Stadt",1980,6.17
"Hamm, kreisfreie Stadt",1981,7.51
"Hamm, kreisfreie Stadt",1982,6.73
"Hamm, kreisfreie Stadt",1983,6.78
"Hamm, kreisfreie Stadt",1984,6.92
"Hamm, kreisfreie Stadt",1985,7.64
"Hamm, kreisfreie Stadt",1986,7.2
"Hamm, kreisfreie Stadt",1987,6.23
"Hamm, kreisfreie Stadt",1988,6.93
"Hamm, kreisfreie Stadt",1989,8.7
"Hamm, kreisfreie Stadt",1990,8.48
"Hamm, kreisfreie Stadt",1991,7.6
"Hamm, kreisfreie Stadt",1992,8.96
"Hamm, kreisfreie Stadt",1993,8.78
"Hamm, kreisfreie Stadt",1994,8.14
"Hamm, kreisfreie Stadt",1995,8.06
"Hamm, kreisfreie Stadt",1996,8.23
"Hamm, kreisfreie Stadt",1997,8.77
"Hamm, kreisfreie Stadt",1998,9.18
"Hamm, kreisfreie Stadt",2000,10.05
"Hamm, kreisfreie Stadt",2001,9.33
"Hamm, kreisfreie Stadt",2002,9.83
"Hamm, kreisfreie Stadt",2003,9.72
"Hamm, kreisfreie Stadt",2004,10.07
"Hamm, kreisfreie Stadt",2005,8.91
"Hamm, kreisfreie Stadt",2006,9.4
"Hamm, kreisfreie Stadt",2007,9.3
"Hamm, kreisfreie Stadt",2008,10.48
"Hamm, kreisfreie Stadt",2009,10.92
"Hamm, kreisfreie Stadt",2010,10.8
"Hamm, kreisfreie Stadt",2011,11.65
"Hamm, kreisfreie Stadt",2012,12.3
"Hamm, kreisfreie Stadt",2013,11.67
"Hamm, kreisfreie Stadt",2014,11.5
"Hamm, kreisfreie Stadt",2015,11.43
"Hamm, kreisfreie Stadt",2016,9.99
"Hamm, kreisfreie Stadt",2017,9.8
"Herne, kreisfreie Stadt",1979,5.86
"Herne, kreisfreie Stadt",1983,6.57
"Herne, kreisfreie Stadt",1987,6.51
"Herne, kreisfreie Stadt",1989,7.6
"Herne, kreisfreie Stadt",1993,8.47
"Herne, kreisfreie Stadt",1994,8.5
"Herne, kreisfreie Stadt",2004,8.5
"Herne, kreisfreie Stadt",2005,8.0
"Herne, kreisfreie Stadt",2006,10.5
"Herne, kreisfreie Stadt",2009,9.0
"Herne, kreisfreie Stadt",2012,11.0
"Herne, kreisfreie Stadt",2013,10.0
"Herne, kreisfreie Stadt",2014,12.0
"Herne, kreisfreie Stadt",2015,12.0
Ennepe-Ruhr-Kreis,1979,6.01
Ennepe-Ruhr-Kreis,1980,6.0
Ennepe-Ruhr-Kreis,1981,6.25
Ennepe-Ruhr-Kreis,1982,6.5
Ennepe-Ruhr-Kreis,1983,5.45
Ennepe-Ruhr-Kreis,1985,8.4
Ennepe-Ruhr-Kreis,1986,6.67
Ennepe-Ruhr-Kreis,1987,6.88
Ennepe-Ruhr-Kreis,1988,7.97
Ennepe-Ruhr-Kreis,1989,9.75
Ennepe-Ruhr-Kreis,1990,7.25
Ennepe-Ruhr-Kreis,1991,6.8
Ennepe-Ruhr-Kreis,1993,7.2
Ennepe-Ruhr-Kreis,1994,6.73
Ennepe-Ruhr-Kreis,1995,7.2
Ennepe-Ruhr-Kreis,1996,7.8
Ennepe-Ruhr-Kreis,1997,8.2
Ennepe-Ruhr-Kreis,1998,7.8
Ennepe-Ruhr-Kreis,1999,9.37
Ennepe-Ruhr-Kreis,2000,9.19
Ennepe-Ruhr-Kreis,2001,9.25
Ennepe-Ruhr-Kreis,2002,8.61
Ennepe-Ruhr-Kreis,2003,9.6
Ennepe-Ruhr-Kreis,2004,9.8
Ennepe-Ruhr-Kreis,2005,9.4
Ennepe-Ruhr-Kreis,2006,7.3
Ennepe-Ruhr-Kreis,2007,9.6
Ennepe-Ruhr-Kreis,2008,11.03
Ennepe-Ruhr-Kreis,2009,9.5
Ennepe-Ruhr-Kreis,2010,8.52
Ennepe-Ruhr-Kreis,2011,9.27
Ennepe-Ruhr-Kreis,2012,10.9
Ennepe-Ruhr-Kreis,2014,11.2
Ennepe-Ruhr-Kreis,2015,11.4
Hochsauerlandkreis,1979,5.57
Hochsauerlandkreis,1983,5.36
Hochsauerlandkreis,1987,6.02
Hochsauerlandkreis,1989,6.4
Hochsauerlandkreis,1991,7.6
Hochsauerlandkreis,2006,3.8
Märkischer Kreis,1979,5.61
Märkischer Kreis,1983,5.02
Märkischer Kreis,1985,2.8
Märkischer Kreis,1986,5.0
Märkischer Kreis,1987,4.51
Märkischer Kreis,1988,5.0
Märkischer Kreis,1989,5.0
Märkischer Kreis,1990,9.0
Märkischer Kreis,1991,5.5
Märkischer Kreis,1993,9.0
Märkischer Kreis,1995,11.0
Märkischer Kreis,1996,12.0
Märkischer Kreis,1998,8.0
Märkischer Kreis,2004,9.4
Märkischer Kreis,2005,10.5
Märkischer Kreis,2006,10.4
Märkischer Kreis,2007,9.0
Märkischer Kreis,2008,10.0
Märkischer Kreis,2009,10.0
Märkischer Kreis,2011,11.0
Märkischer Kreis,2013,7.57
Märkischer Kreis,2015,10.0
"Olpe, Landkreis",1979,6.01
"Olpe, Landkreis",1983,4.44
"Olpe, Landkreis",1987,5.9
"Olpe, Landkreis",1989,7.58
"Siegen-Wittgenstein, Landkreis",1979,5.73
"Siegen-Wittgenstein, Landkreis",1980,5.5
"Siegen-Wittgenstein, Landkreis",1981,5.0
"Siegen-Wittgenstein, Landkreis",1982,5.6
"Siegen-Wittgenstein, Landkreis",1983,4.45
"Siegen-Wittgenstein, Landkreis",1985,7.2
"Siegen-Wittgenstein, Landkreis",1987,6.0
"Siegen-Wittgenstein, Landkreis",1989,7.62
"Soest, Landkreis",1979,6.16
"Soest, Landkreis",1980,7.25
"Soest, Landkreis",1981,6.22
"Soest, Landkreis",1982,6.15
"Soest, Landkreis",1983,6.16
"Soest, Landkreis",1984,5.6
"Soest, Landkreis",1985,6.65
"Soest, Landkreis",1986,9.3
"Soest, Landkreis",1987,6.75
"Soest, Landkreis",1988,7.62
"Soest, Landkreis",1989,7.71
"Soest, Landkreis",1990,7.45
"Soest, Landkreis",1991,7.94
"Soest, Landkreis",1992,8.51
"Soest, Landkreis",1993,8.84
"Soest, Landkreis",1994,8.61
"Soest, Landkreis",1995,9.51
"Soest, Landkreis",1996,8.78
"Soest, Landkreis",1997,8.97
"Soest, Landkreis",1998,8.45
"Soest, Landkreis",1999,10.46
"Soest, Landkreis",2000,9.81
"Soest, Landkreis",2001,9.59
"Soest, Landkreis",2002,9.02
"Soest, Landkreis",2003,9.0
"Soest, Landkreis",2004,9.92
"Soest, Landkreis",2005,9.69
"Soest, Landkreis",2006,9.37
"Soest, Landkreis",2007,9.33
"Soest, Landkreis",2008,10.7
"Soest, Landkreis",2009,9.61
"Soest, Landkreis",2010,9.05
"Soest, Landkreis",2011,10.79
"Soest, Landkreis",2012,10.05
"Soest, Landkreis",2013,9.53
"Soest, Landkreis",2014,10.49
"Soest, Landkreis",2015,10.15
"Soest, Landkreis",2016,9.85
"Soest, Landkreis",2017,10.55
"Soest, Landkreis",2018,9.98
"Soest, Landkreis",2019,8.99
"Soest, Landkreis",2020,9.33
"Soest, Landkreis",2021,11.87
"Unna, Landkreis",1979,5.49
"Unna, Landkreis",1980,7.12
"Unna, Landkreis",1981,6.35
"Unna, Landkreis",1982,6.29
"Unna, Landkreis",1983,6.15
"Unna, Landkreis",1984,5.34
"Unna, Landkreis",1985,5.94
"Unna, Landkreis",1986,6.39
"Unna, Landkreis",1987,5.59
"Unna, Landkreis",1988,6.85
"Unna, Landkreis",1989,7.17
"Unna, Landkreis",1990,7.71
"Unna, Landkreis",1991,7.28
"Unna, Landkreis",1992,7.31
"Unna, Landkreis",1993,7.85
"Unna, Landkreis",1994,7.04
"Unna, Landkreis",1995,7.17
"Unna, Landkreis",1996,7.38
"Unna, Landkreis",1997,8.4
"Unna, Landkreis",1998,7.32
"Unna, Landkreis",1999,9.67
"Unna, Landkreis",2000,10.12
"Unna, Landkreis",2001,10.72
"Unna, Landkreis",2002,11.5
"Unna, Landkreis",2003,10.77
"Unna, Landkreis",2004,10.76
"Unna, Landkreis",2005,9.73
"Unna, Landkreis",2006,8.78
"Unna, Landkreis",2007,9.29
"Unna, Landkreis",2008,10.47
"Unna, Landkreis",2009,9.94
"Unna, Landkreis",2010,10.23
"Unna, Landkreis",2011,11.6
"Unna, Landkreis",2012,11.87
"Unna, Landkreis",2013,12.0
"Unna, Landkreis",2014,13.27
"Unna, Landkreis",2015,11.95
"Unna, Landkreis",2016,10.93
"Unna, Landkreis",2017,10.01
"Unna, Landkreis",2018,8.03
"Unna, Landkreis",2020,9.39
"Darmstadt, kreisfreie Stadt",1979,6.84
"Darmstadt, kreisfreie Stadt",1980,5.93
"Darmstadt, kreisfreie Stadt",1981,7.01
"Darmstadt, kreisfreie Stadt",1985,6.71
"Darmstadt, kreisfreie Stadt",1986,7.57
"Darmstadt, kreisfreie Stadt",1987,7.27
"Darmstadt, kreisfreie Stadt",1988,8.65
"Darmstadt, kreisfreie Stadt",1989,8.92
"Darmstadt, kreisfreie Stadt",1990,7.22
"Darmstadt, kreisfreie Stadt",1991,6.67
"Darmstadt, kreisfreie Stadt",1993,8.07
"Darmstadt, kreisfreie Stadt",1994,7.61
"Darmstadt, kreisfreie Stadt",1995,7.91
"Darmstadt, kreisfreie Stadt",1996,8.3
"Darmstadt, kreisfreie Stadt",1997,8.5
"Darmstadt, kreisfreie Stadt",1998,9.09
"Darmstadt, kreisfreie Stadt",1999,9.13
"Darmstadt, kreisfreie Stadt",2000,9.09
"Darmstadt, kreisfreie Stadt",2001,9.37
"Darmstadt, kreisfreie Stadt",2002,9.3
"Frankfurt am Main, kreisfreie Stadt",1979,6.84
"Frankfurt am Main, kreisfreie Stadt",1980,5.93
"Frankfurt am Main, kreisfreie Stadt",1981,7.01
"Frankfurt am Main, kreisfreie Stadt",1985,6.74
"Frankfurt am Main, kreisfreie Stadt",1986,7.02
"Frankfurt am Main, kreisfreie Stadt",1987,7.29
"Frankfurt am Main, kreisfreie Stadt",1988,8.22
"Frankfurt am Main, kreisfreie Stadt",1989,9.02
"Frankfurt am Main, kreisfreie Stadt",1990,7.22
"Frankfurt am Main, kreisfreie Stadt",1991,6.67
"Frankfurt am Main, kreisfreie Stadt",1993,7.96
"Frankfurt am Main, kreisfreie Stadt",1994,8.13
"Frankfurt am Main, kreisfreie Stadt",1995,8.01
"Frankfurt am Main, kreisfreie Stadt",1996,8.3
"Frankfurt am Main, kreisfreie Stadt",1997,8.82
"Frankfurt am Main, kreisfreie Stadt",1998,9.49
"Frankfurt am Main, kreisfreie Stadt",1999,9.94
"Frankfurt am Main, kreisfreie Stadt",2000,9.68
"Frankfurt am Main, kreisfreie Stadt",2001,9.58
"Frankfurt am Main, kreisfreie Stadt",2002,9.3
"Offenbach am Main, kreisfreie Stadt",1979,6.84
"Offenbach am Main, kreisfreie Stadt",1980,5.93
"Offenbach am Main, kreisfreie Stadt",1981,7.01
"Offenbach am Main, kreisfreie Stadt",1985,7.11
"Offenbach am Main, kreisfreie Stadt",1986,6.82
"Offenbach am Main, kreisfreie Stadt",1987,7.19
"Offenbach am Main, kreisfreie Stadt",1988,7.63
"Offenbach am Main, kreisfreie Stadt",1989,7.83
"Offenbach am Main, kreisfreie Stadt",1990,6.92
"Offenbach am Main, kreisfreie Stadt",1991,6.67
"Offenbach am Main, kreisfreie Stadt",1993,8.17
"Offenbach am Main, kreisfreie Stadt",1994,7.61
"Offenbach am Main, kreisfreie Stadt",1995,7.41
"Offenbach am Main, kreisfreie Stadt",1996,8.09
"Offenbach am Main, kreisfreie Stadt",1997,8.29
"Offenbach am Main, kreisfreie Stadt",1998,8.59
"Offenbach am Main, kreisfreie Stadt",1999,8.42
"Offenbach am Main, kreisfreie Stadt",2000,8.39
"Offenbach am Main, kreisfreie Stadt",2001,9.47
"Offenbach am Main, kreisfreie Stadt",2002,9.3
"Wiesbaden, kreisfreie Stadt",1979,6.84
"Wiesbaden, kreisfreie Stadt",1980,5.93
"Wiesbaden, kreisfreie Stadt",1981,7.01
"Wiesbaden, kreisfreie Stadt",1985,6.59
"Wiesbaden, kreisfreie Stadt",1986,6.88
"Wiesbaden, kreisfreie Stadt",1987,7.15
"Wiesbaden, kreisfreie Stadt",1988,8.35
"Wiesbaden, kreisfreie Stadt",1989,7.43
"Wiesbaden, kreisfreie Stadt",1990,6.82
"Wiesbaden, kreisfreie Stadt",1991,6.38
"Wiesbaden, kreisfreie Stadt",1993,8.27
"Wiesbaden, kreisfreie Stadt",1994,7.51
"Wiesbaden, kreisfreie Stadt",1995,7.41
"Wiesbaden, kreisfreie Stadt",1996,8.09
"Wiesbaden, kreisfreie Stadt",1997,7.98
"Wiesbaden, kreisfreie Stadt",1998,8.39
"Wiesbaden, kreisfreie Stadt",1999,8.62
"Wiesbaden, kreisfreie Stadt",2000,8.59
"Wiesbaden, kreisfreie Stadt",2001,9.68
"Wiesbaden, kreisfreie Stadt",2002,9.3
"Bergstraße, Landkreis",1979,6.84
"Bergstraße, Landkreis",1980,5.93
"Bergstraße, Landkreis",1981,7.01
"Bergstraße, Landkreis",1985,6.5
"Bergstraße, Landkreis",1986,7.02
"Bergstraße, Landkreis",1987,7.41
"Bergstraße, Landkreis",1988,7.92
"Bergstraße, Landkreis",1989,7.51
"Bergstraße, Landkreis",1990,7.02
"Bergstraße, Landkreis",1991,6.49
"Bergstraße, Landkreis",1993,8.21
"Bergstraße, Landkreis",1994,6.94
"Bergstraße, Landkreis",1995,8.71
"Bergstraße, Landkreis",1996,9.04
"Bergstraße, Landkreis",1997,7.24
"Bergstraße, Landkreis",1998,9.09
"Bergstraße, Landkreis",1999,8.32
"Bergstraße, Landkreis",2000,8.1
"Bergstraße, Landkreis",2001,8.12
"Bergstraße, Landkreis",2002,9.3
"Darmstadt-Dieburg, Landkreis",1979,6.84
"Darmstadt-Dieburg, Landkreis",1980,5.93
"Darmstadt-Dieburg, Landkreis",1981,7.01
"Darmstadt-Dieburg, Landkreis",1985,7.14
"Darmstadt-Dieburg, Landkreis",1986,7.67
"Darmstadt-Dieburg, Landkreis",1987,7.37
"Darmstadt-Dieburg, Landkreis",1988,8.34
"Darmstadt-Dieburg, Landkreis",1989,8.35
"Darmstadt-Dieburg, Landkreis",1990,6.92
"Darmstadt-Dieburg, Landkreis",1991,6.72
"Darmstadt-Dieburg, Landkreis",1993,7.94
"Darmstadt-Dieburg, Landkreis",1994,8.23
"Darmstadt-Dieburg, Landkreis",1995,8.31
"Darmstadt-Dieburg, Landkreis",1996,8.86
"Darmstadt-Dieburg, Landkreis",1997,8.61
"Darmstadt-Dieburg, Landkreis",1998,8.29
"Darmstadt-Dieburg, Landkreis",1999,9.23
"Darmstadt-Dieburg, Landkreis",2000,9.09
"Darmstadt-Dieburg, Landkreis",2001,8.43
"Darmstadt-Dieburg, Landkreis",2002,9.4
"Darmstadt-Dieburg, Landkreis",2003,6.86
"Darmstadt-Dieburg, Landkreis",2017,10.61
"Darmstadt-Dieburg, Landkreis",2018,7.07
"Darmstadt-Dieburg, Landkreis",2019,9.54
"Darmstadt-Dieburg, Landkreis",2020,8.52
"Darmstadt-Dieburg, Landkreis",2021,9.91
"Groß-Gerau, Landkreis",1979,6.84
"Groß-Gerau, Landkreis",1980,5.93
"Groß-Gerau, Landkreis",1981,7.01
"Groß-Gerau, Landkreis",1985,6.54
"Groß-Gerau, Landkreis",1986,7.88
"Groß-Gerau, Landkreis",1987,7.48
"Groß-Gerau, Landkreis",1988,8.36
"Groß-Gerau, Landkreis",1989,8.64
"Groß-Gerau, Landkreis",1990,7.33
"Groß-Gerau, Landkreis",1991,7.27
"Groß-Gerau, Landkreis",1993,7.98
"Groß-Gerau, Landkreis",1994,7.93
"Groß-Gerau, Landkreis",1995,7.51
"Groß-Gerau, Landkreis",1996,7.88
"Groß-Gerau, Landkreis",1997,8.19
"Groß-Gerau, Landkreis",1998,8.49
"Groß-Gerau, Landkreis",1999,8.62
"Groß-Gerau, Landkreis",2000,8.2
"Groß-Gerau, Landkreis",2001,9.16
"Groß-Gerau, Landkreis",2002,8.09
"Groß-Gerau, Landkreis",2003,7.46
Hochtaunuskreis,1979,6.84
Hochtaunuskreis,1980,5.93
Hochtaunuskreis,1981,7.01
Hochtaunuskreis,1985,6.64
Hochtaunuskreis,1986,6.52
Hochtaunuskreis,1987,6.68
Hochtaunuskreis,1988,7.2
Hochtaunuskreis,1989,8.32
Hochtaunuskreis,1990,6.71
Hochtaunuskreis,1991,6.48
Hochtaunuskreis,1993,7.96
Hochtaunuskreis,1994,7.4
Hochtaunuskreis,1995,7.51
Hochtaunuskreis,1996,7.36
Hochtaunuskreis,1997,7.56
Hochtaunuskreis,1998,8.59
Hochtaunuskreis,1999,8.32
Hochtaunuskreis,2000,8.49
Hochtaunuskreis,2001,9.37
Hochtaunuskreis,2002,9.3
Main-Kinzig-Kreis,1979,6.84
Main-Kinzig-Kreis,1980,5.93
Main-Kinzig-Kreis,1981,7.01
Main-Kinzig-Kreis,1985,7.43
Main-Kinzig-Kreis,1986,7.22
Main-Kinzig-Kreis,1987,7.42
Main-Kinzig-Kreis,1988,7.3
Main-Kinzig-Kreis,1989,8.25
Main-Kinzig-Kreis,1990,7.14
Main-Kinzig-Kreis,1991,6.99
Main-Kinzig-Kreis,1993,8.39
Main-Kinzig-Kreis,1994,8.17
Main-Kinzig-Kreis,1995,8.01
Main-Kinzig-Kreis,1996,8.51
Main-Kinzig-Kreis,1997,7.98
Main-Kinzig-Kreis,1998,8.39
Main-Kinzig-Kreis,1999,10.24
Main-Kinzig-Kreis,2000,9.68
Main-Kinzig-Kreis,2001,9.58
Main-Kinzig-Kreis,2002,10.31
Main-Kinzig-Kreis,2003,7.86
Main-Kinzig-Kreis,2017,10.53
